ID	TEXT	CLASS
965693084309827586	Me acaban de decir que me parezco a una famosa jajaja. Parecerme, si nomas.	0
965948685195636736	no quiero volver me quiero quedar con la tranquilidad de acá	0
965942657943064576	Vuelven a restarme seguidores. RT por favor!. Twitter no debe censurar.	0
955925745993383937	Profesor, no alcancé a apuntar, ¿Podria volver a repetir? Claro, ¿en qué parte te perdiste? Más o menos en el inicio del semestre.	1
872297481563848704	Mantras para tranquilizarte, encontrar la paz y ser feliz:  – Me vale madres. – A la chingada. – No es mi pedo.	0
887368323788398592	Nivel de carencia en el desarrollo psicoafectivo: crear una cuenta de CuriousCat.	0
687728646593761280	— Diosito, ¿por qué no encuentro el amor de mi vida?  — Porque cuando te lo mando le dices que lo quieres como amigo, pendeja.	1
142968241273323520	Trabajas menos que el Ratoncito Pérez en un asilo de ancianos #frases	1
965737690728751105	Que grande Unsain viejo y peludo nomas.👏👏👏	0
297517278025629696	—¿Tiene pastillas para la diarrea? —Espere... Sí, ¿Cuántas quiere...? —JAJAJÁ no, ya no, ya olvídalo. Mejor deme un papel higiénico.	1
465526259829583872	¿Por qué los hombres son inútiles?  Porque tienen... tetas y no dan leche,  pajarito y no cantan,  pelotas y no ruedan	1
826057341787336704	|      SEND         | |     NUDES         | |     PLEASE        | | ＿＿＿＿______| (\__/)  ||  (•ㅅ•)  ||  / 　 づ	0
880806918444527618	¿En qué se diferencian una boda y un divorcio? En que en la boda es todo arroz y en el divorcio es todo "paella"....	1
733746586434572288	Un grupo de WhatsApp de mujeres tiene más secretos que el gobierno de Estados Unidos.	1
965777662437482497	Ya me revolví 🤦🏻‍♀️	0
147310021401784321	MAMÁ. puedo comer madera ....no hijo estas loco la madera noo se come ...¿y por que anoche le decias a papa que rico palo? RT @PITERALBEIRO	1
965718279494033408	Pasional como sutil.	0
907425286739726336	- 911, ¿cuál es su emergencia? - Nos queremos y no somos novios :/	0
965856909596200960	tengo clase en diez minutos y no me siento capaz ni de salir de la cama, como para salir de casa	0
