ID	TEXT	CLASS
861749071777759232	Hice taebo en la mañaba, zumba en la noche y me zampé 2 paquetes de m&amp;m's. Sino no es pa' gozarla ¿pa' que es digo yo?	0
965830502266654721	más hermoso no puede ser no?	0
1090327243874861061	—¿Borracho yo? Si sólo bebo los días que terminan en "s": lunes, martes, miércoles, jueves, viernes, sábados, domingos y días festivos.	1
965797631506243584	@Aeromexico   Devuelvan la maleta de  @mariobautista_  x9  #AEROMÉXICOTIENEPÉSIMOSERVICIO	0
965712608761298945	La vida es demasiado corta como para pasarla tratando de complacer a todos..	0
965857085761056768	nuna	0
3194467885	A tu boca voy, y con ancha cara la sopa te doy #adivinanza	0
966434111375077376	—¿Tienen pastillas para dejar de ser presumido?  —Sí.  —¡Eso no es nada! Mi papá es el dueño de la fábrica donde las hacen.	1
749431221755662336	A veces la solución está en desaparecer por un tiempo.	0
325045040923680769	No dejes que tus oídos sean testigos de lo que tus ojos no ven; no dejes que tu boca hable lo que tu corazón no siente	0
943694499091447808	Soy de ese tipo de persona con la que mi mamá no dejaría juntarme.	0
784500962744426496	Dime qué tan largas tienes las uñas y te diré que tan Naca eres.	0
955916858946981890	— ¡Te ves más flaco! ¿Qué estás haciendo?    — Sumiendo la panza :(	1
965696838195007488	FIFA podría implementar el VideoRef en los partidos de Soccer, en pocas palabras la revisión de faltas y jugadas polémicas en vídeo.	0
147453838130020352	2 borrachitos: -Llévame al bar la "Perla Milagrosa". Otro día en el hospital y aporreados: ¡Menso, ahí decía la "Curva Peligrosa"!	1
1029776493075824641	—Que bonito perro ¿cómo se llama?  —Wi-Fi  —Ah caray y eso ¿Por qué?  —Por que sé lo robe a mi vecino.	1
965796796852158465	Mi padre enojado por tener un hijo borracho, barbon, tatuado...  @LngSHT me super encanta esta canción?	0
308723811925229568	— Preciosa me dejas mostrarte mi aparato reproductor?   — Nooo morboso! ¬¬'   — Aaaah nadie quiere ver mi MP3 :/ #xD	1
715932127339159552	#FF para #EnElClubSFM     @Haroletto   @Valdedrama   @TrinoPirata   @SoyBola   @MeroSabor   @hortojodido   @FachitoColombia   @FutbolSinCracks	0
