ID	TEXT	CLASS
a15f386b637d63cc2b6e9018e57e1b3	Contra la independencia de Cataluña. Twitter 46 http://t.co/BcyaKk9K4s #independenciacataluña #independenciacatalunya #27s2015 #27s #indepes	MALE
2a90e56a9ea0d75e2b710f0c0e4f2fd9	Euforia entre los militantes de @CiudadanosCs al ver en el escrutinio 24 diputados. #eleccionescatalanas @La1_tve http://t.co/J8mZKis9XH	FEMALE
edf687558fa13b6375df0b5ee63dd788	Lo que pasa cuando se agitan los nacionalismos. Esto es un no parar... #27S  https://t.co/FWMzHcEV3c	FEMALE
f677cfd0d0ec59226f87fe2425ba60c2	#27S Independentistas: menos de la mitad de los votos. Hora de recordar que Antonio Baños #CUP dijo "no" a Mas #JxSí para molt honorable.	MALE
79616e607617bf6f8e29b1cf2f87ad57	@ArturMasCat @Junqueras @JuntosporelSi tras rotundo rechazo catalanes en #Eleccionescatalanas deberían replantearse cosas si aman #CataluÑa	MALE
78051fa868c12efb511f622cd2f1d41	Una alta participación favorece a la izquierda no independentista CSQEP y PSC #27S	FEMALE
a0b560fc12fd2bb78e5ba3d7f37fef91	@CiudadanosCs y @cupnacional los ganadores de estas elecciones. #eleccionescatalanas	MALE
54682ad7cb740e76ec674e60efb96e85	Doble victoria, dice Mas. Además, afirma que gana el sí y la democracia. Váyase, señor Mas, váyase. #27S #eleccionescatalanas	FEMALE
34dc59205a17ca8779810bf91d0cce10	#Lectores y #electores tienen la misma raíz, al igual que recolectar. #27S	FEMALE
46afed5b9ba7cd7555cbe82b21e8cc1b	Felicidades PSOE x la Prestancia y Valentía demostrada n #eleccionescatalanas Gracias @sanchezcastejon @miqueliceta https://t.co/kjwHTakQMb	FEMALE
2384616b44beac1ce9264ac2a40aaf52	Que Artur Mas buen presidente? Y la cantidad de dinero invertido en movimientos independentista en vez + #eleccionescatalanas	FEMALE
423f284bb39fe0c15282d92f03a8ee85	Por qué tanto perderse, tanto buscarse, sin encontrarse... Me encierran los muros de todas partes... #bso #27s http://t.co/UWw8BllLyF	FEMALE
4b42649ed42903fc6ffc79014ba0237	Apoderados d @CiudadanosCs  traídos d Jaén, Ciudad Real...con la misma actitud y des(facha)tez q un PPero convencional. Alerta!! #27S #CUP	MALE
b1071772cdeec5d04a57d3782e821a76	Chao Mas, vete con tu papi Jordi Pujol. Espero que las CUP prometan lo que dijeron en campaña! #3% #corrupción #27S	MALE
6d0348dfc4a23771fd7b05af602b6336	Hoy pude ser un gran día,  plantéatelo así..  #27s #freecat #independanceday	FEMALE
c429c63a8bae5f86eac63fc15116c7c5	David Fernández: ni un solo diputado de la CUP apoyará a Artur Mas #eleccionescatalana La CUP va a tener mucha responsabilidad.	MALE
5c5af23aefc96b4c0a9cef4f2200928f	A Artur Mas le falta un 3% para la mayoria absoluta,ay ese 3%...q lo perseguirá siempre #eleccionescatalanas	MALE
e54511a0455849a911c3bb379fee30c2	Los independentistas logran la mayoría en escaños, pero no en número de votos #27S	FEMALE
38cbb146869e883a27c81c750c0ee2d9	Adivine en menos de 5 seg la candidatura del tapado del #27S q retrata @Forges http://t.co/qztDARZv0C	MALE
